index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
326,上海财经大学,Shanghai University of Finance and Economics,1/0/1,[sijichun/sufethesis](https://github.com/sijichun/sufethesis), ,🔒️,23,9,2017-12-10,2016-08-01, ,上海财经大学博士学位论文LaTeX and LyX 模板
327,上海大学,Shanghai University,5/0/2,[SHU-CES-1008/SHU-Thesis](https://github.com/SHU-CES-1008/SHU-Thesis), , ,11,1,2022-12-02,2022-11-16, ,上海大学硕士学位论文LaTeX模板
328,上海大学,Shanghai University,5/0/2,[ahhylau/shuthesis](https://github.com/ahhylau/shuthesis), , ,33,15,2024-01-17,2017-05-30, ,LaTeX Thesis Template for Shanghai University
329,上海大学,Shanghai University,5/0/2,[bowenbfeng/SHU-Bachelor-Thesis-Template](https://github.com/bowenbfeng/SHU-Bachelor-Thesis-Template), ,🔒️,19,4,2019-04-16,2019-04-16, ,The LATEX template for the bachelor thesis at Shanghai University
330,上海大学,Shanghai University,5/0/2,[shuosc/SHU-Bachelor-Thesis-OSC](https://github.com/shuosc/SHU-Bachelor-Thesis-OSC), , ,132,29,2024-02-29,2020-01-09, ,上海大学本科生毕业论文latex模板-开源社区版本。
331,上海大学,Shanghai University,5/0/2,[zeakey/shu-thesis](https://github.com/zeakey/shu-thesis), ,🔒️,53,15,2019-12-11,2017-05-12, ,LaTeX Template for Shanghai University Master's Thesis.
332,上海第二工业大学,Shanghai Second University of Technology,1/0/1,[chuxubank/ssputhesis](https://github.com/chuxubank/ssputhesis), ,🔒️,1,0,2019-05-17,2019-05-07,Apache-2.0,上海第二工业大学 XeLaTeX 毕业设计论文模版 Shanghai Polytechnic University XeLaTeX Thesis Template
333,上海对外经贸大学,Shanghai University of Foreign Trade and Economic Cooperation,1/0/0,[Yangruipis/SUIBEthesis](https://github.com/Yangruipis/SUIBEthesis), , ,26,6,2023-12-05,2018-09-09,MIT,上海对外经贸大学（SUIBE）毕业论文Latex模板
334,上海工程技术大学,Shanghai University of Engineering and Technology,4/0/0,[AndyYangjd/SUES-Paper](https://github.com/AndyYangjd/SUES-Paper), , ,5,3,2020-03-09,2020-03-09,MIT,上海工程技术大学（SUES）学术型硕士毕业论文Latex模板（非官方，个人简单编辑版）
335,上海工程技术大学,Shanghai University of Engineering and Technology,4/0/0,[MobtgZhang/sues-thesis](https://github.com/MobtgZhang/sues-thesis), , ,21,6,2024-03-01,2022-03-29,MIT,上海工程技术大学硕士学位论文模板
336,上海工程技术大学,Shanghai University of Engineering and Technology,4/0/0,[MobtgZhang/sues-thesis-bachelor](https://github.com/MobtgZhang/sues-thesis-bachelor), , ,2,0,2024-02-21,2023-04-19,MIT,上海工程技术大学学士学位论文模板
