学校（机构）	学校（机构）英文	分类	语言	GitHub仓库	已归档	Star数	Fork数
重庆大学	Chongqing University	thesis	latex	https://github.com/neardws/My-Doctoral-Dissertation	False	71	11
南京信息工程大学	Nanjing University of Information Engineering	thesis	latex	https://github.com/sakronos/NUIST_Bachelor_Thesis_LaTeX_Template	False	71	10
（澳大利亚）莫纳什大学	Monash University	thesis	markdown	https://github.com/robjhyndman/MonashThesis	False	70	52
北京航空航天大学	Beihang University (Beijing University of Aeronautics and Astronautics, BUAA)	thesis	ms-word	https://github.com/ixzhao/BUAA_Dissertation_Template	True	70	12
通用模板	Common Templates	paper	latex	https://github.com/anyirao/latex-conference-template	False	70	12
（美国）斯坦福大学	Stanford University	presentation	latex	https://github.com/sanhacheong/stanford-beamer-presentation	False	69	41
（土耳其）伊斯坦布尔科技大学	Istanbul Technical University	thesis	latex	https://github.com/ondes/Template-Latex-ITU-Thesis	False	69	24
复旦大学	Fudan University	thesis	latex	https://github.com/Pandoxie/FDU-Thesis-Latex	False	69	20
（德国）萨尔大学	Saarland University	presentation	latex	https://github.com/kailashbuki/beamerthemesaarland	False	69	16
东北大学	Northeastern University	thesis	latex	https://github.com/Acytoo/neu_bachelor_thesis_template	False	69	15
