序号,中文名,外文名,GitHub仓库,已归档,Star数,Fork数,更新时间,许可证
483,**哈尔滨工业大学**,*Harbin Institute of Technology*,[:simple-github: HawkTom/<br>sustech-hithesis](https://github.com/HawkTom/sustech-hithesis),:unlock:,13,6,:material-update: `2019-07-01`, 
484,**（德国）美因茨应用科技大学**,*Mainz University of Applied Sciences*<br>(Hochschule Mainz),[:simple-github: JonasBingel/<br>HSMZ-Thesis-Template](https://github.com/JonasBingel/HSMZ-Thesis-Template),:unlock:,13,6,:material-update: `2024-11-16`, 
485,**东南大学**,*Southeast University*,[:simple-github: cmuCoppelia/<br>seuthesis2020](https://github.com/cmuCoppelia/seuthesis2020),:unlock:,13,6,:material-update: `2020-05-07`,:material-license: `MIT`
486,**（美国）北卡罗来纳州立大学**,*North Carolina State University*,[:simple-github: jhykes/<br>ncsuthesis](https://github.com/jhykes/ncsuthesis),:unlock:,13,6,:material-update: `2019-07-08`, 
487,**中南大学**,*Central South University*,[:simple-github: zhongjingjogy/<br>thesisthemeCSU](https://github.com/zhongjingjogy/thesisthemeCSU),:card_box:,13,6,:material-update: `2017-12-26`, 
488,**西安石油大学**,*Xi'an University of Petroleum*,[:simple-github: h2y/<br>xsyu-latex](https://github.com/h2y/xsyu-latex),:unlock:,13,5,:material-update: `2021-06-30`, 
489,**（瑞典）卡罗林斯卡学院**,"*Karolinska Institute, KI*<br>(Karolinska Institutet)",[:simple-github: bcschiffler/<br>phdthesis_ki](https://github.com/bcschiffler/phdthesis_ki),:unlock:,13,4,:material-update: `2017-12-06`,:material-license: `MIT`
490,**（波兰）弗罗茨瓦夫理工大学**,*Wrocław University of Science and Technology*<br>(Politechnika Wrocławska),[:simple-github: rkubosz/<br>dyplompwr](https://github.com/rkubosz/dyplompwr),:unlock:,13,4,:material-update: `2020-12-03`,:material-license: `MIT`
491,**山东大学**,*Shandong University*,[:simple-github: bearshng/<br>sduthesis](https://github.com/bearshng/sduthesis),:unlock:,13,3,:material-update: `2015-03-27`, 
492,**香港城市大学<br>（香港城市大學）**,*City University of Hong Kong (CityU)*,[:simple-github: huwan/<br>CityU_Thesis](https://github.com/huwan/CityU_Thesis),:unlock:,13,3,:material-update: `2021-12-01`,:material-license: `MIT`
493,**四川大学**,*Sichuan University*,[:simple-github: kevinleeex/<br>scu_thesis_template](https://github.com/kevinleeex/scu_thesis_template),:unlock:,13,3,:material-update: `2022-03-23`,:material-license: `AGPL-3.0`
494,**南京邮电大学**,*Nanjing University of Posts and Telecommunications*,[:simple-github: li199-code/<br>njupt_master_thesis_latex_template](https://github.com/li199-code/njupt_master_thesis_latex_template),:unlock:,13,3,:material-update: `2024-07-18`, 
495,**（意大利）贝加莫大学**,*University of Bergamo*<br>(Università degli studi di Bergamo),[:simple-github: micheleberetta98/<br>unibg-thesis-template](https://github.com/micheleberetta98/unibg-thesis-template),:unlock:,13,3,:material-update: `2024-11-12`,:material-license: `NOASSERTION`
496,**南京大学**,*Nanjing University*,[:simple-github: zhangchuheng123/<br>NJUThesis](https://github.com/zhangchuheng123/NJUThesis),:unlock:,13,3,:material-update: `2016-06-01`, 
497,**西南财经大学**,*Southwestern University of Finance and Economics*,[:simple-github: OopsYao/<br>swufethesis](https://github.com/OopsYao/swufethesis),:unlock:,13,2,:material-update: `2024-04-25`,:material-license: `LPPL-1.3c`
498,**西南交通大学**,*Southwest Jiaotong University*,[:simple-github: Pungjay/<br>swjtuThesis](https://github.com/Pungjay/swjtuThesis),:unlock:,13,2,:material-update: `2024-10-25`, 
499,**南方科技大学**,*Southern University of Science and Technology*,[:simple-github: SUSTC/<br>sustcthesis](https://github.com/SUSTC/sustcthesis),:unlock:,13,2,:material-update: `2015-04-06`,:material-license: `MIT`
500,**南京工业大学**,*Nanjing University of Technology*,[:simple-github: faimerth/<br>NJUT-Thesis-Template](https://github.com/faimerth/NJUT-Thesis-Template),:unlock:,13,2,:material-update: `2019-06-30`,:material-license: `GPL-3.0`
501,**华南理工大学**,*South China University of Technology*,[:simple-github: sherrycattt/<br>ScutThesis](https://github.com/sherrycattt/ScutThesis),:unlock:,13,2,:material-update: `2022-06-19`, 
502,**北京林业大学**,*Beijing Forestry University*,[:simple-github: ufo5260987423/<br>BjfuLatexTemplate](https://github.com/ufo5260987423/BjfuLatexTemplate),:unlock:,13,2,:material-update: `2018-02-18`, 
503,**云南大学**,*Yunnan University*,[:simple-github: ZhenfengLei/<br>Yunnan-University-Thesis-Latex](https://github.com/ZhenfengLei/Yunnan-University-Thesis-Latex),:unlock:,13,1,:material-update: `2018-07-26`, 
504,**四川大学**,*Sichuan University*,[:simple-github: bennyji/<br>SCUthesis](https://github.com/bennyji/SCUthesis),:unlock:,13,1,:material-update: `2020-04-04`, 
505,**福州大学**,*Fuzhou University*,[:simple-github: chenzl23/<br>FZUThesis](https://github.com/chenzl23/FZUThesis),:unlock:,13,1,:material-update: `2024-05-27`, 
506,**华东理工大学**,*East China University of Science and Technology*,[:simple-github: fireflylyn/<br>Ecust_Bachelor_LaTeX_Template](https://github.com/fireflylyn/Ecust_Bachelor_LaTeX_Template),:unlock:,13,1,:material-update: `2017-06-05`, 
507,**郑州大学**,*Zhengzhou University*,[:simple-github: fylimas/<br>zzuthesis](https://github.com/fylimas/zzuthesis),:unlock:,13,1,:material-update: `2024-03-20`, 
508,**南开大学**,*Nankai University*,[:simple-github: MaZhengg/<br>NKUthesis](https://github.com/MaZhengg/NKUthesis),:unlock:,13,0,:material-update: `2019-03-04`, 
509,**（波兰）罗兹理工大学**,*Łódź University of Technology*<br>(Politechnika Łódzka),[:simple-github: jlokiec/<br>FTIMS-thesis-template](https://github.com/jlokiec/FTIMS-thesis-template),:unlock:,13,0,:material-update: `2020-01-28`,:material-license: `GPL-3.0`
510,**上海交通大学**,*Shanghai Jiaotong University*,[:simple-github: dyweb/<br>SJTUThesis](https://github.com/dyweb/SJTUThesis),:card_box:,12,9,:material-update: `2017-12-26`,:material-license: `Apache-2.0`
511,**通用模板**,*Common Templates*,[:simple-github: jankapunkt/<br>master-thesis](https://github.com/jankapunkt/master-thesis),:unlock:,12,9,:material-update: `2021-03-09`, 
512,**（美国）斯坦福大学**,*Stanford University*,[:simple-github: twhughes/<br>PhD_Thesis](https://github.com/twhughes/PhD_Thesis),:unlock:,12,7,:material-update: `2019-08-22`,:material-license: `MIT`
513,**（英国）考文垂大学**,*Coventry University*,[:simple-github: GR8DAN/<br>coventry-thesis](https://github.com/GR8DAN/coventry-thesis),:unlock:,12,6,:material-update: `2022-10-30`,:material-license: `MIT`
514,**浙江大学**,*Zhejiang University*,[:simple-github: huoyao/<br>ZJUThesis](https://github.com/huoyao/ZJUThesis),:unlock:,12,6,:material-update: `2016-03-15`,:material-license: `GPL-3.0`
515,**中国科学院大学**,*University of Chinese Academy of Sciences*,[:simple-github: yulijia/<br>LaTeX_UCASthesis](https://github.com/yulijia/LaTeX_UCASthesis),:unlock:,12,6,:material-update: `2017-11-07`, 
516,**厦门大学**,*Xiamen University*,[:simple-github: naseeihity/<br>xmu-latex-temple](https://github.com/naseeihity/xmu-latex-temple),:unlock:,12,5,:material-update: `2017-05-04`, 
517,**华东理工大学**,*East China University of Science and Technology*,[:simple-github: wjsong365/<br>ECUST_Thesis_LaTeX](https://github.com/wjsong365/ECUST_Thesis_LaTeX),:unlock:,12,4,:material-update: `2023-01-15`, 
518,**中国人民大学**,*Renmin University of China*,[:simple-github: HughYau/<br>RUCthesis-for-Bachelor](https://github.com/HughYau/RUCthesis-for-Bachelor),:unlock:,12,3,:material-update: `2022-03-23`, 
519,**重庆大学**,*Chongqing University*,[:simple-github: cqu-bdsc/<br>CQUThesis](https://github.com/cqu-bdsc/CQUThesis),:unlock:,12,3,:material-update: `2023-05-10`,:material-license: `NOASSERTION`
520,**西南交通大学**,*Southwest Jiaotong University*,[:simple-github: cshaowang/<br>swjtuThesisV2.0](https://github.com/cshaowang/swjtuThesisV2.0),:unlock:,12,3,:material-update: `2024-06-27`, 
521,**中国矿业大学**,*China University of Mining and Technology*,[:simple-github: jiandong4388/<br>CUMTB-Latex](https://github.com/jiandong4388/CUMTB-Latex),:unlock:,12,3,:material-update: `2018-05-11`, 
522,**（韩国）首尔大学**,"*Seoul National University, SNU*<br>(서울대학교)",[:simple-github: skywalker023/<br>thesis-template-snu-cse](https://github.com/skywalker023/thesis-template-snu-cse),:unlock:,12,3,:material-update: `2023-04-05`,:material-license: `MIT`
523,**广州大学**,*Guangzhou University*,[:simple-github: whitelok/<br>GZHU_Latex_Template](https://github.com/whitelok/GZHU_Latex_Template),:unlock:,12,3,:material-update: `2017-09-13`,:material-license: `MIT`
524,**（奥地利）维也纳大学**,*University of Vienna*<br>(Universität Wien),[:simple-github: ppatrzyk/<br>UniWien-LaTeX-Thesis](https://github.com/ppatrzyk/UniWien-LaTeX-Thesis),:unlock:,12,2,:material-update: `2017-11-05`,:material-license: `MIT`
525,**重庆大学**,*Chongqing University*,[:simple-github: yinguoweiOvO/<br>CQU_Thesis2024](https://github.com/yinguoweiOvO/CQU_Thesis2024),:unlock:,12,2,:material-update: `2024-05-20`,:material-license: `NOASSERTION`
526,**武汉大学**,*Wuhan University*,[:simple-github: BenjaminHb/<br>whu-thesis](https://github.com/BenjaminHb/whu-thesis),:unlock:,12,1,:material-update: `2022-06-21`,:material-license: `MIT`
527,**西安交通大学**,*Xi'an Jiaotong University*,[:simple-github: ChenjieGump/<br>XJTU-BSThesis_latex_2022](https://github.com/ChenjieGump/XJTU-BSThesis_latex_2022),:unlock:,12,1,:material-update: `2023-05-04`,:material-license: `MIT`
528,**山东师范大学**,*Shandong Normal University*,[:simple-github: RuYunW/<br>SDNU-LaTeX-bachelor-2021](https://github.com/RuYunW/SDNU-LaTeX-bachelor-2021),:unlock:,12,1,:material-update: `2022-05-16`,:material-license: `GPL-3.0`
529,**江苏大学**,*Jiangsu University*,[:simple-github: TYZQ/<br>ujsthesis](https://github.com/TYZQ/ujsthesis),:unlock:,12,1,:material-update: `2020-08-21`, 
530,**北京航空航天大学**,"*Beihang University (Beijing University of Aeronautics and Astronautics, BUAA)*",[:simple-github: ZhuGongpu/<br>BUAA-Graduate-Dissertation-Template](https://github.com/ZhuGongpu/BUAA-Graduate-Dissertation-Template),:unlock:,12,1,:material-update: `2018-09-28`,:material-license: `MIT`
531,**长沙理工大学**,*Changsha University of Technology*,[:simple-github: kangxiatao/<br>CSUSTthesis](https://github.com/kangxiatao/CSUSTthesis),:unlock:,12,1,:material-update: `2024-03-04`, 
532,**台湾高雄科技大学<br>（國立高雄科技大學）**,*National Kaohsiung First University of Science and Technology (NKFUST)*,[:simple-github: yuhao-kuo/<br>NKUST-thesis-template](https://github.com/yuhao-kuo/NKUST-thesis-template),:unlock:,11,15,:material-update: `2024-09-13`, 
533,**（加拿大）康考迪亚大学**,*Concordia University*,[:simple-github: Tandysony/<br>LaTeX-Thesis-Template-for-Concordia-University-Students](https://github.com/Tandysony/LaTeX-Thesis-Template-for-Concordia-University-Students),:unlock:,11,13,:material-update: `2021-03-08`, 
534,**（印度）印度理工学院海得拉巴分校**,"*Indian Institute of Technology Hyderabad*<br>(ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ, హైదరాబాద్)",[:simple-github: utpalbora/<br>IITHThesis](https://github.com/utpalbora/IITHThesis),:unlock:,11,11,:material-update: `2023-05-09`,:material-license: `MIT`
535,**（法国）巴黎第十一大学**,*Paris-Sud University*<br>(Université Paris-Sud),[:simple-github: stellasia/<br>thesis-template](https://github.com/stellasia/thesis-template),:unlock:,11,10,:material-update: `2015-06-23`, 
536,**北京理工大学**,*Beijing Institute of Technology*,[:simple-github: zhang-datou/<br>BIT_Thesis](https://github.com/zhang-datou/BIT_Thesis),:unlock:,11,8,:material-update: `2020-05-03`, 
537,**（德国）波恩-莱茵-锡格应用技术大学**,*Hochschule Bonn-Rhein-Sieg University of Applied Sciences*<br>(Hochschule Bonn-Rhein-Sieg),[:simple-github: MartinX3-EducationOrganization/<br>hbrs-latex-vorlage-arbeit](https://github.com/MartinX3-EducationOrganization/hbrs-latex-vorlage-arbeit),:unlock:,11,7,:material-update: `2024-11-13`,:material-license: `AGPL-3.0`
538,**南京信息工程大学**,*Nanjing University of Information Engineering*,[:simple-github: LirenW/<br>NUIST_thesis_template_V2.0](https://github.com/LirenW/NUIST_thesis_template_V2.0),:unlock:,11,6,:material-update: `2021-06-14`, 
539,**（加拿大）滑铁卢大学**,*University of Waterloo*,[:simple-github: mohuangrui/<br>uwaterloothesis](https://github.com/mohuangrui/uwaterloothesis),:unlock:,11,4,:material-update: `2021-10-29`, 
540,**兰州大学**,*Lanzhou University*,[:simple-github: szsdk/<br>LZUthesis](https://github.com/szsdk/LZUthesis),:unlock:,11,4,:material-update: `2022-11-16`, 
541,**电子科技大学**,*University of Electronic Science and Technology of China*,[:simple-github: savicsw/<br>ThesisUESTC](https://github.com/savicsw/ThesisUESTC),:unlock:,11,2,:material-update: `2021-03-30`, 
542,**东华大学**,*Donghua University*,[:simple-github: 3000ye/<br>dhuBachelor](https://github.com/3000ye/dhuBachelor),:unlock:,11,1,:material-update: `2024-06-16`, 
543,**中央财经大学**,*Central University of Finance and Economics*,[:simple-github: Nanqiang01/<br>CUFE_Graduate_Thesis_Template](https://github.com/Nanqiang01/CUFE_Graduate_Thesis_Template),:unlock:,11,1,:material-update: `2024-04-14`, 
544,**（印度尼西亚）印度尼西亚大学**,*University of Indonesia*<br>(Universitas Indonesia),[:simple-github: rkkautsar/<br>ui-thesis-template](https://github.com/rkkautsar/ui-thesis-template),:unlock:,11,1,:material-update: `2019-03-06`,:material-license: `NOASSERTION`
545,**同济大学**,*Tongji University*,[:simple-github: HarlanHW/<br>TongjiThesis](https://github.com/HarlanHW/TongjiThesis),:unlock:,11,0,:material-update: `2019-05-19`, 
546,**华东师范大学**,*East China Normal University*,[:simple-github: jtchen2k/<br>modern-ecnu-thesis](https://github.com/jtchen2k/modern-ecnu-thesis),:unlock:,11,0,:material-update: `2025-03-03`,:material-license: `MIT`
547,**（新加坡）新加坡国立大学**,*National University of Singapore (NUS)*,[:simple-github: ramananbalakrishnan/<br>nus-thesis-latex-template](https://github.com/ramananbalakrishnan/nus-thesis-latex-template),:unlock:,10,12,:material-update: `2015-11-14`,:material-license: `MIT`
548,**（意大利）特伦托大学**,*University of Trento*<br>(Università degli Studi di Trento),[:simple-github: unitn-drive/<br>thesis](https://github.com/unitn-drive/thesis),:unlock:,10,6,:material-update: `2025-02-20`,:material-license: `MIT`
549,**北京交通大学**,*Beijing Jiaotong University*,[:simple-github: labusi/<br>bjtu-thesis](https://github.com/labusi/bjtu-thesis),:unlock:,10,4,:material-update: `2018-04-30`,:material-license: `Apache-2.0`
550,**通用模板**,*Common Templates*,[:simple-github: thesis-toolbox/<br>template](https://github.com/thesis-toolbox/template),:unlock:,10,4,:material-update: `2023-09-25`,:material-license: `Unlicense`
551,**兰州理工大学**,*Lanzhou University of Technology*,[:simple-github: estivalinp/<br>LuThesis](https://github.com/estivalinp/LuThesis),:unlock:,10,3,:material-update: `2018-06-05`, 
552,**南京师范大学**,*Nanjing Normal University*,[:simple-github: jordanzhouda/<br>nnuthesis](https://github.com/jordanzhouda/nnuthesis),:unlock:,10,3,:material-update: `2018-08-10`, 
553,**南京信息工程大学**,*Nanjing University of Information Engineering*,[:simple-github: Alrash/<br>NUIST_Master_Thesis](https://github.com/Alrash/NUIST_Master_Thesis),:unlock:,10,2,:material-update: `2020-06-10`,:material-license: `MIT`
554,**同济大学**,*Tongji University*,[:simple-github: C-zzZZ/<br>TongjiThesis](https://github.com/C-zzZZ/TongjiThesis),:unlock:,10,2,:material-update: `2018-11-25`, 
555,**苏州大学**,*Soochow University*,[:simple-github: absop/<br>LaTeX-Template](https://github.com/absop/LaTeX-Template),:unlock:,10,2,:material-update: `2020-05-27`, 
556,**武汉大学**,*Wuhan University*,[:simple-github: jwwangchn/<br>WHU-Thesis-LaTeX](https://github.com/jwwangchn/WHU-Thesis-LaTeX),:unlock:,10,2,:material-update: `2021-04-14`, 
557,**郑州大学**,*Zhengzhou University*,[:simple-github: lusongno1/<br>-latex-](https://github.com/lusongno1/-latex-),:unlock:,10,2,:material-update: `2019-04-19`, 
558,**电子科技大学**,*University of Electronic Science and Technology of China*,[:simple-github: richardkwo/<br>UESTC-bachelor-thesis-xelatex](https://github.com/richardkwo/UESTC-bachelor-thesis-xelatex),:unlock:,10,2,:material-update: `2014-01-20`, 
559,**北京师范大学**,*Beijing Normal University*,[:simple-github: gebrilliant/<br>BNU-Latex-Thesis](https://github.com/gebrilliant/BNU-Latex-Thesis),:unlock:,10,1,:material-update: `2020-02-07`, 
560,**大连理工大学**,*Dalian University of Technology*,[:simple-github: hanqing0521/<br>thesis-dut](https://github.com/hanqing0521/thesis-dut),:unlock:,10,1,:material-update: `2022-05-16`, 
561,**南京信息工程大学**,*Nanjing University of Information Engineering*,[:simple-github: jtzhpf/<br>NUIST-Bachelor-Thesis-LaTeX-Template-v2022.4](https://github.com/jtzhpf/NUIST-Bachelor-Thesis-LaTeX-Template-v2022.4),:unlock:,10,1,:material-update: `2022-04-21`, 
562,**（匈牙利）罗兰大学**,"*Eötvös Loránd University*<br>(Eötvös Loránd Tudományegyetem, ELTE)",[:simple-github: mcserep/<br>elteiktdk](https://github.com/mcserep/elteiktdk),:unlock:,10,1,:material-update: `2024-04-26`,:material-license: `MIT`
563,**通用模板**,*Common Templates*,[:simple-github: v97ug/<br>Aizu-Graduation-Thesis-Template](https://github.com/v97ug/Aizu-Graduation-Thesis-Template),:unlock:,10,1,:material-update: `2017-02-14`, 
564,**西安交通大学**,*Xi'an Jiaotong University*,[:simple-github: Radiance-nt/<br>XJTU_BachelorThesis_DagRank](https://github.com/Radiance-nt/XJTU_BachelorThesis_DagRank),:unlock:,10,0,:material-update: `2024-06-01`,:material-license: `GPL-3.0`
565,**中国传媒大学**,*Communication University of China*,[:simple-github: TheoCUC/<br>CUC-LaTeX-Templates](https://github.com/TheoCUC/CUC-LaTeX-Templates),:unlock:,10,0,:material-update: `2024-06-27`,:material-license: `MIT`
566,**同济大学**,*Tongji University*,[:simple-github: hang-qi/<br>tongji-thesis](https://github.com/hang-qi/tongji-thesis),:unlock:,10,0,:material-update: `2013-04-15`, 
567,**华东理工大学**,*East China University of Science and Technology*,[:simple-github: lavandejoey/<br>ECUSTThesisLatex](https://github.com/lavandejoey/ECUSTThesisLatex),:unlock:,10,0,:material-update: `2024-01-21`,:material-license: `MIT`
568,**东北大学**,*Northeastern University*,[:simple-github: neuljh/<br>NEU-undergraduate-thesis-LaTeX-template](https://github.com/neuljh/NEU-undergraduate-thesis-LaTeX-template),:unlock:,10,0,:material-update: `2024-02-12`,:material-license: `MIT`
569,**西安电子科技大学**,*Xidian University*,[:simple-github: oopsno/<br>XDUThesis](https://github.com/oopsno/XDUThesis),:unlock:,10,0,:material-update: `2016-06-07`, 
570,**中山大学**,*Sun Yat-sen University*,[:simple-github: ShevaXu/<br>LatexThesis4SYSU](https://github.com/ShevaXu/LatexThesis4SYSU),:unlock:,9,10,:material-update: `2014-05-27`, 
571,**香港中文大学<br>（香港中文大學）**,*Chinese University of Hong Kong (CUHK)*,[:simple-github: cllu/<br>CUHK-Thesis-Template](https://github.com/cllu/CUHK-Thesis-Template),:unlock:,9,10,:material-update: `2016-05-18`, 
572,**广东工业大学**,*Guangdong University of Technology*,[:simple-github: jokerdawn/<br>GDUTThesis](https://github.com/jokerdawn/GDUTThesis),:card_box:,9,10,:material-update: `2019-02-19`, 
573,**中国人民大学**,*Renmin University of China*,[:simple-github: MelodyRen1998/<br>ruc-thesis-template-via-bookdown](https://github.com/MelodyRen1998/ruc-thesis-template-via-bookdown),:unlock:,9,7,:material-update: `2020-03-17`, 
574,**通用模板**,*Common Templates*,[:simple-github: tdehaeze/<br>clean-latex-template](https://github.com/tdehaeze/clean-latex-template),:unlock:,9,6,:material-update: `2018-04-29`, 
575,**山东大学**,*Shandong University*,[:simple-github: Luosid0/<br>2024sdu-latex-undergraduate](https://github.com/Luosid0/2024sdu-latex-undergraduate),:unlock:,9,5,:material-update: `2024-04-06`,:material-license: `AGPL-3.0`
576,**中国地质大学（武汉）**,*China University of Geosciences*,[:simple-github: xujinlai/<br>CUGThesis](https://github.com/xujinlai/CUGThesis),:unlock:,9,5,:material-update: `2015-06-05`,:material-license: `GPL-2.0`
577,**（孟加拉国）吉大港Premier大学**,"*Premier University, CHATTOGRAM*<br>(প্রিমিয়ার ইউনিভার্সিটি)",[:simple-github: ascuet/<br>puc-report-template](https://github.com/ascuet/puc-report-template),:unlock:,9,4,:material-update: `2022-05-09`, 
578,**（越南）芹苴大学**,*Can Tho University*<br>(Trường Đại học Cần Thơ),[:simple-github: duongludien/<br>thesis-template](https://github.com/duongludien/thesis-template),:unlock:,9,4,:material-update: `2018-05-14`,:material-license: `GPL-3.0`
579,**天津大学**,*Tianjin University*,[:simple-github: lebronyxm/<br>TJU-master-Latex](https://github.com/lebronyxm/TJU-master-Latex),:unlock:,9,4,:material-update: `2017-08-09`, 
580,**南昌航空大学**,*Nanchang Aviation University*,[:simple-github: NCHUSC/<br>NCHU_Bachelor_Thesis_Template](https://github.com/NCHUSC/NCHU_Bachelor_Thesis_Template),:unlock:,9,3,:material-update: `2025-02-15`,:material-license: `MIT`
581,**（西班牙）马拉加大学**,"*University of Malaga*<br>(Universidad de Málaga, UMA)",[:simple-github: benhid/<br>TFG-UMA](https://github.com/benhid/TFG-UMA),:unlock:,9,3,:material-update: `2020-01-08`,:material-license: `MIT`
582,**天津大学**,*Tianjin University*,[:simple-github: haimingz/<br>tjuthesis](https://github.com/haimingz/tjuthesis),:unlock:,9,3,:material-update: `2025-03-07`, 
583,**东北电力大学**,*Northeast Electric Power University*,[:simple-github: jycnb-666/<br>NEEPUTHESIS](https://github.com/jycnb-666/NEEPUTHESIS),:unlock:,9,3,:material-update: `2023-02-05`, 
584,**北京科技大学**,*Beijing University of Science and Technology*,[:simple-github: qin-nz/<br>USTB-latex](https://github.com/qin-nz/USTB-latex),:unlock:,9,3,:material-update: `2015-06-02`,:material-license: `MIT`
585,**南京大学**,*Nanjing University*,[:simple-github: EdwardSaidZhou/<br>NJU-thesis-esz](https://github.com/EdwardSaidZhou/NJU-thesis-esz),:unlock:,9,2,:material-update: `2022-03-25`, 
586,**（英国）爱丁堡大学**,*University of Edinburgh*<br>(Oilthigh Dhùn Èideann),[:simple-github: H0R5E/<br>edengths](https://github.com/H0R5E/edengths),:unlock:,9,2,:material-update: `2024-11-18`,:material-license: `GPL-3.0`
587,**中国传媒大学**,*Communication University of China*,[:simple-github: cucJ2014/<br>CUC_Template-of-thesis_Latex](https://github.com/cucJ2014/CUC_Template-of-thesis_Latex),:unlock:,9,1,:material-update: `2021-11-09`, 
588,**国防科技大学**,*National Defense University of Science and Technology*,[:simple-github: kelvin0207/<br>NUDT-Template](https://github.com/kelvin0207/NUDT-Template),:unlock:,9,1,:material-update: `2024-05-16`, 
589,**国防科技大学**,*National Defense University of Science and Technology*,[:simple-github: nonsense-j/<br>NUDT_FinalPaper](https://github.com/nonsense-j/NUDT_FinalPaper),:unlock:,9,1,:material-update: `2023-08-09`,:material-license: `MIT`
590,**北京交通大学**,*Beijing Jiaotong University*,[:simple-github: GhostCai/<br>bjtu-thesis-dlc](https://github.com/GhostCai/bjtu-thesis-dlc),:unlock:,9,0,:material-update: `2024-05-07`, 
591,**仲恺农业工程学院**,*Zhongkai University of Agriculture and Engineering*,[:simple-github: Jin-Cheng-Ming/<br>ZHKU_Thesis](https://github.com/Jin-Cheng-Ming/ZHKU_Thesis),:unlock:,9,0,:material-update: `2024-05-28`,:material-license: `NOASSERTION`
592,**（伊朗）阿米尔·卡比尔理工大学**,"*University of Technology, AUT*<br>(دانشگاه صنعتی امیرکبیر)",[:simple-github: aminrashidbeigi/<br>BS-thesis](https://github.com/aminrashidbeigi/BS-thesis),:unlock:,9,0,:material-update: `2020-10-28`, 
593,**通用模板**,*Common Templates*,[:simple-github: jorgepiloto/<br>escriba](https://github.com/jorgepiloto/escriba),:unlock:,9,0,:material-update: `2021-09-16`,:material-license: `NOASSERTION`
594,**苏州大学**,*Soochow University*,[:simple-github: rgwt123/<br>sudathesis](https://github.com/rgwt123/sudathesis),:unlock:,9,0,:material-update: `2021-03-28`, 
595,**陕西师范大学**,*Shaanxi Normal University*,[:simple-github: yykphy/<br>yk-snnu-thesis](https://github.com/yykphy/yk-snnu-thesis),:unlock:,9,0,:material-update: `2024-06-13`, 
596,**青岛大学**,*Qingdao University*,[:simple-github: chardoncs/<br>qdubachelor-tex](https://github.com/chardoncs/qdubachelor-tex),:unlock:,8,4,:material-update: `2025-01-01`,:material-license: `MIT`
597,**湖南大学**,*Hunan University*,[:simple-github: XayahSuSuSu/<br>Latex-HNUThesisTemplate](https://github.com/XayahSuSuSu/Latex-HNUThesisTemplate),:unlock:,8,3,:material-update: `2024-05-05`,:material-license: `Apache-2.0`
598,**（西班牙）马德里理工大学**,"*Technical University of Madrid*<br>(Universidad Politécnica de Madrid, UPM)",[:simple-github: eduayme/<br>UPM-thesis-template-latex](https://github.com/eduayme/UPM-thesis-template-latex),:unlock:,8,3,:material-update: `2020-11-01`, 
599,**大连理工大学**,*Dalian University of Technology*,[:simple-github: 01xz/<br>dlut-thesis](https://github.com/01xz/dlut-thesis),:unlock:,8,2,:material-update: `2025-03-14`,:material-license: `LPPL-1.3c`
600,**华中科技大学**,*Huazhong University of Science*,[:simple-github: Qinnn/<br>LaTeX-ThesisTemplatesForHUSTer](https://github.com/Qinnn/LaTeX-ThesisTemplatesForHUSTer),:unlock:,8,2,:material-update: `2015-04-22`, 
601,**（印度）印度理工学院克勒格布尔分校**,"*Indian Institute of Technology Kharagpur, IIT Kharagpur*<br>(ਆਈ.ਆਈ.ਟੀ. ਖੜਗਪੁਰ)",[:simple-github: c-i-p-h-e-r/<br>PhinisheD](https://github.com/c-i-p-h-e-r/PhinisheD),:unlock:,8,2,:material-update: `2018-01-04`,:material-license: `MIT`
602,**（英国）纽卡斯尔大学**,*Newcastle University*,[:simple-github: philipdarke/<br>simple-thesis](https://github.com/philipdarke/simple-thesis),:unlock:,8,2,:material-update: `2024-10-15`,:material-license: `MIT`
603,**同济大学**,*Tongji University*,[:simple-github: Ginufet/<br>tongji-dissertation-master-template](https://github.com/Ginufet/tongji-dissertation-master-template),:unlock:,8,1,:material-update: `2022-03-11`, 
604,**复旦大学**,*Fudan University*,[:simple-github: fduxiao/<br>format_for_fdu_math](https://github.com/fduxiao/format_for_fdu_math),:unlock:,8,1,:material-update: `2019-05-09`, 
605,**（英国）南安普顿大学**,*University of Southampton*,[:simple-github: hlwhl/<br>ECS_Thesis_Template_LaTex](https://github.com/hlwhl/ECS_Thesis_Template_LaTex),:unlock:,8,1,:material-update: `2018-08-19`,:material-license: `Apache-2.0`
606,**武汉大学**,*Wuhan University*,[:simple-github: liuyijiang1994/<br>WHU-PhD-Latex](https://github.com/liuyijiang1994/WHU-PhD-Latex),:unlock:,8,1,:material-update: `2024-02-17`, 
607,**（印度）蒂鲁吉拉伯利国立理工学院**,"*National Institute of Technology Tiruchirappalli, NIT Trichy*<br>(தேசிய தொழில்நுட்பக் கழகம், திருச்சிராப்பள்ளி)",[:simple-github: niki864/<br>ThesisTemplate](https://github.com/niki864/ThesisTemplate),:unlock:,8,1,:material-update: `2018-03-19`,:material-license: `MIT`
608,**（日本）东京大学**,*University of Tokyo*<br>(東京大学),[:simple-github: utlis/<br>llls_depp-thesis_template](https://github.com/utlis/llls_depp-thesis_template),:unlock:,8,1,:material-update: `2024-03-26`, 
